,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
1, China ,"80,282", 131 ," 2,981 ", 38 ," 27,301 ","50,000 ","6,416 "
2, S. Korea ,"5,621", 435 , 35 , 3 ," 5,545 ",41 ,27 
3, Italy ,"3,089", 587 , 107 , 28 ," 2,706 ",276 ,295 
4, Iran ,"2,922", 586 , 92 , 15 ," 2,278 ",552 ,0
5, Diamond Princess ,706,0, 6 ,0, 488 ,212 ,35 
6, Japan ,331, 38 , 6 ,0, 282 ,43 ,29 
7, Germany ,262, 59 ,0,0, 246 ,16 ,2 
8, France ,257, 45 , 4 ,0, 241 ,12 ,10 
9, Spain ,210, 45 , 1 ,0, 207 ,2 ,3 
10, USA ,137, 13 , 9 ,0, 119 ,9 ,8 
11, Singapore ,110,0,0,0, 32 ,78 ,7 
12, Hong Kong ,103, 2 , 2 ,0, 64 ,37 ,6 
13, Switzerland ,93, 35 ,0,0, 90 ,3 ,0
14, U.K. ,85, 34 ,0,0, 77 ,8 ,0
15, Kuwait ,56,0,0,0, 56 ,0,0
16, Norway ,56, 23 ,0,0, 56 ,0,0
17, Bahrain ,52, 3 ,0,0, 51 ,1 ,0
18, Australia ,50, 11 , 2 , 1 , 27 ,21 ,1 
19, Malaysia ,50, 14 ,0,0, 28 ,22 ,0
20, Thailand ,43,0, 1 ,0, 12 ,30 ,1 
21, Taiwan ,42,0, 1 ,0, 29 ,12 ,0
22, Netherlands ,38, 15 ,0,0, 38 ,0,1 
23, Iraq ,35, 3 ,0,0, 35 ,0,0
24, Sweden ,35, 5 ,0,0, 34 ,1 ,0
25, Canada ,33, 3 ,0,0, 26 ,7 ,0
26, Austria ,29, 5 ,0,0, 29 ,0,0
27, India ,28, 21 ,0,0, 25 ,3 ,0
28, U.A.E. ,27,0,0,0, 22 ,5 ,2 
29, Iceland ,26, 12 ,0,0, 25 ,1 ,0
30, Belgium ,23, 8 ,0,0, 22 ,1 ,1 
31, San Marino ,16, 6 , 1 ,0, 15 ,0,3 
32, Vietnam ,16,0,0,0, 0 ,16 ,0
33, Israel ,15, 3 ,0,0, 14 ,1 ,0
34, Lebanon ,15, 2 ,0,0, 15 ,0,0
35, Algeria ,12, 4 ,0,0, 12 ,0,0
36, Oman ,12,0,0,0, 10 ,2 ,0
37, Macao ,10,0,0,0, 1 ,9 ,0
38, Denmark ,10,0,0,0, 10 ,0,0
39, Ecuador ,10, 3 ,0,0, 10 ,0,1 
40, Croatia ,9,0,0,0, 9 ,0,0
41, Greece ,9, 2 ,0,0, 9 ,0,0
42, Czechia ,8, 3 ,0,0, 8 ,0,0
43, Qatar ,8,0,0,0, 8 ,0,0
44, Finland ,7,0,0,0, 6 ,1 ,0
45, Belarus ,6, 2 ,0,0, 6 ,0,0
46, Mexico ,6,0,0,0, 5 ,1 ,0
47, Romania ,6, 2 ,0,0, 5 ,1 ,0
48, Pakistan ,5,0,0,0, 5 ,0,0
49, Portugal ,5, 1 ,0,0, 5 ,0,0
50, Philippines ,3,0, 1 ,0, 0 ,2 ,0
51, Azerbaijan ,3,0,0,0, 3 ,0,0
52, Georgia ,3,0,0,0, 3 ,0,0
53, Russia ,3,0,0,0, 1 ,2 ,0
54, Brazil ,2,0,0,0, 2 ,0,0
55, Egypt ,2,0,0,0, 1 ,1 ,0
56, Estonia ,2,0,0,0, 2 ,0,0
57, Indonesia ,2,0,0,0, 2 ,0,0
58, Ireland ,2,0,0,0, 2 ,0,0
59, New Zealand ,2,0,0,0, 2 ,0,0
60, Senegal ,2,0,0,0, 2 ,0,0
61, Hungary ,2, 2 ,0,0, 2 ,0,0
62, Afghanistan ,1,0,0,0, 1 ,0,0
63, Andorra ,1,0,0,0, 1 ,0,0
64, Armenia ,1,0,0,0, 1 ,0,0
65, Cambodia ,1,0,0,0, 0 ,1 ,0
66, Dominican Republic ,1,0,0,0, 1 ,0,0
67, Jordan ,1,0,0,0, 1 ,0,0
68, Latvia ,1,0,0,0, 1 ,0,0
69, Lithuania ,1,0,0,0, 1 ,0,0
70, Luxembourg ,1,0,0,0, 1 ,0,0
71, North Macedonia ,1,0,0,0, 1 ,0,0
72, Monaco ,1,0,0,0, 1 ,0,0
73, Morocco ,1,0,0,0, 1 ,0,0
74, Nepal ,1,0,0,0, 0 ,1 ,0
75, Nigeria ,1,0,0,0, 1 ,0,0
76, Saudi Arabia ,1,0,0,0, 1 ,0,0
77, Sri Lanka ,1,0,0,0, 0 ,1 ,0
78, Tunisia ,1,0,0,0, 1 ,0,0
79, Ukraine ,1,0,0,0, 1 ,0,0
80, Argentina ,1,0,0,0, 1 ,0,0
81, Chile ,1,0,0,0, 1 ,0,0
82, Faeroe Islands ,1, 1 ,0,0, 1 ,0,0
83, Liechtenstein ,1,0,0,0, 1 ,0,0
84, Poland ,1, 1 ,0,0, 1 ,0,0
85,Total:,"95,067",2 165,"3,249",85,"40,386","51,432","6,848"
